User,Comment,ImageURL,CommentId,Index,Type
loongdingdong,,https://img-comment-fun.9cache.com/media/aOyO8PM/a0MpZx1z_700w_0.jpg,a11BOw8,0,P
filmoreau,,https://img-comment-fun.9cache.com/media/anBDr9E/aDXxe6qx_700w_0.jpg,a11BOw8,1,P
montananathani,Les hommes forts du Québec. Le coeur à bonne place,,a11BOw8,2,P
matcouz,He's pretty badass,,a11BOw8,3,P
heero1224,He's already rich so....,,a11BOw8,4,P
balleduquebec,@heero1224 tell that to Aaron Donald who threatened to retire if the Rams didn’t raise his salary to 31m$/year cause 22.5m$/year wasn’t enough.,,a11BOw8,4,C
balleduquebec,"@heero1224 plus, name one pro athlete that left at his peak to go pursue his education or work in healthcare",,a11BOw8,4,C
heero1224,@balleduquebec i mean it's not education or healthcare but it is civil service. Pat Tillman.,,a11BOw8,4,C
balleduquebec,@heero1224 Tillman’s a good example you’re right. Sad what happened. There’s an excellent documentary on him on YouTube ‘’My football life : Pat Tillman’’,,a11BOw8,4,C
heero1224,"@balleduquebec I was actually posted at COP Tillman (they've changed the name to COP Wilderness now) for a few years, only reason I actually know the story. I don't follow any sports.",,a11BOw8,4,C
balleduquebec,Fitbit ‘’feeling your power’’ commercial with a woman clearly not able to stand up on a board and with cuts every 1 sec cause it was probably impossible to have a good take. Pretty sure she almost died doing this add and I’m not joking.,https://img-comment-fun.9cache.com/media/are5M3X/aW3QqeYg_700w_0.jpg,arn9xVX,0,P
joesixpac,@balleduquebec lol I saw that too,,arn9xVX,0,C
mrda47,@balleduquebec ahahaha you're from Vancouver I'm sure. Let's hang out,,arn9xVX,0,C
suck_my_crease,@balleduquebec ever time that fucking sea monster interrupts my video on YouTube I want to puke.,,arn9xVX,0,C
feraplon,@balleduquebec Dawwwww a seal climbed on the surf board! Hope he wasn't trying to escape an orca that later ate it.,,arn9xVX,0,C
0po,Link,,arn9xVX,0,C
thepape,@balleduquebec lol I rolled my eyes as well when I saw it on yt,,arn9xVX,0,C
blogfly,@0po https://youtu.be/sYN5dOvr5MU,,arn9xVX,0,C
blogfly,@balleduquebec lol,https://img-comment-fun.9cache.com/media/aMA5Kd1/aKX1ggEp_700w_0.jpg,arn9xVX,0,C
stromtroper,"@balleduquebec the whole add is annoying. Apparently ""fitness"" means dressing up with drag show makeup and spinning around on a stripper pole.",,arn9xVX,0,C
simpleflips,"@balleduquebec I hate fat people advertising for swimsuit models because that just doesn't fit, but for a watch that is supposed to HELP people get fit and into shape.... Isn't that women part of their target audience? Doesn't it actually make sense in this case of advertising? We certainly don't make fun of fat people TRYING to go to the gym and get in shape.",https://img-comment-fun.9cache.com/media/aR7GRw2/a46P3X17_700w_0.jpg,arn9xVX,0,C
simpleflips,@balleduquebec And ok maybe she's too fat to surf but damn do we really shit on her for trying some activities gotta start somewhere.  As long as they arnt promoting fat body's as healthy or beautiful then I'm fine with it.,https://img-comment-fun.9cache.com/media/aR7GRw2/aXa7q4Rd_700w_0.jpg,arn9xVX,0,C
fakestslimshady,I was thinking about buying Fitbit but after this ad I am sticking with my Garmin...,,arn9xVX,0,C
recoverdomain0,@balleduquebec well ain't Fitbit the exercise thingy? never seen the commercial but won't this actually appeal to the main audience?,,arn9xVX,0,C
tristanpuissan,"@balleduquebec haha. I moved to Canada 2 years ago and i laugh about how Woke the commercial are. There no white men anymore. During the NHL playoff you always have ads with a group of friend watching hockey and theres always a black guy,an indian guy,a white lesbian and a chinese guy. When i go see the canucks at rogers arena i never seen a black guy or an asian guy in the building. And same for ""perfecf"" interracial car commercial Couple where its ALWAYS the guy who is black. . Never the girl",,arn9xVX,0,C
asinum_faciem,"@simpleflips one, swimming in open seas is dangerous especially if you dont know the proper techniques or the stamina for it. Them promoting this fatass who had trouble moving stupid enough. I would have no trouble if it was a fat person jogging and actually trying their best.
Two, they did say that she is healthy. Look at the watch, it says her body rating is 90 - excellent. That alone tells us that the watch is broken.",,arn9xVX,0,C
insane_bullseye,@balleduquebec,https://img-comment-fun.9cache.com/media/a4RA3my/adRPqLYm_700w_0.jpg,arn9xVX,0,C
klmochl,"@balleduquebec omfg yes! this fucking ads!!!!
the ads: ''listen to your body''....
me : ....''it's telling you you have diabetes''",,arn9xVX,0,C
lavashark1,@tristanpuissan true,,arn9xVX,0,C
stromtroper,"@simpleflips that's not the problem. ""She"" isn't a real person that loves surfing and is trying to get in shape; she's an actress they hired to appear excited in a commercial. 

And I get marketing fitness accessories to people who aren't in good shape. The problem is the add is saying she's in shape; the watch reads that she's ready for this activity and the ad is talking about ""feel your power"".",,arn9xVX,0,C
guigoba,"@balleduquebec man I laughed everytime this was aired.
Did you saw they made an extended version? It shows more of the woman.. standing on the beach.
Hahaga",,arn9xVX,0,C
asianib,@balleduquebec BRUHHHH fatbit,,arn9xVX,0,C
nickgurrrrr,Link captain,,arn9xVX,0,C
balleduquebec,@guigoba No idea what went through their head. It literally contradict what they’re trying to show. We all can see that she’s barely holding on because she’s to fat. They cut every second.,,arn9xVX,0,C
nickgurrrrr,@simpleflips the problem is they are trying to say that this is healthy. Look at this photo for example,https://img-comment-fun.9cache.com/media/aK7RZjQ/aKX1g0jr_700w_0.jpg,arn9xVX,0,C
chuck127,@balleduquebec ahah you are a savage! But yeah doing surf and knowing how hard it  is just to  get in the right position to take à wave and get out of the beach when you have some big waves aka à good day to surf. No way she can pull that out!,,arn9xVX,0,C
tangerinesunse,"I’m overweight and I can surf. Just because you’re fit (or fat or etc) and things are too hard for YOU, don’t assume all fat people are the same.",,arn9xVX,0,C
sassy_entropy,@balleduquebec,https://img-comment-fun.9cache.com/media/ayo9Oby/aNRZgDzZ_700w_0.jpg,arn9xVX,0,C
joesixpac,@tangerinesunse they all fat tho...,,arn9xVX,0,C
sassy_entropy,@balleduquebec,https://img-comment-fun.9cache.com/media/ayo9Oby/a1kN4oZY_700w_0.jpg,arn9xVX,0,C
allrightyhennnn,That commercial is absolute cringe. Why does every commercial nowadays seems leek a competition to be as woke and unrealistic as possible?,,arn9xVX,0,C
balleduquebec,"@tangerinesunse I’m fit and I can’ surf. Trying to put the spotlight on me won’t change the fact that they tried to portait a morbidly obese woman as a surfer like it’s no buggy. if she was able to surf, she would’ve. She’s morbidly obese and can barely hold on to the board. They had to cut every second because it was probably horrible to see. You wanna encourage overweight people to use your product and start working out ? I’m 100% for that. However, this ‘’obese are as healthy as others’’ is a bad thing. It makes obese people believe that they’re fit, which they aren’t. Show her swimming, walking, running, golfing play volleyball or anything that she can ACTUALLY do to get fit. They wanna show that obese women can do anything, but clearly they can’t and it would help them more if you show them what they can actually do to help instead of showing a borderline handicapped woman as a sporty girl",,arn9xVX,0,C
raffox2,"Actually it’s the perfect marketing strategy from them. Many people actually believe this bullshit that you need gadgets to make you train better and achieve goals. Counting steps on the phone, calories here etc",,arn9xVX,0,C
amount_user,@balleduquebec that’s just ridiculous,,arn9xVX,0,C
kzourob232,"@balleduquebec Here you go
https://www.youtube.com/watch?v=sYN5dOvr5MU",,arn9xVX,0,C
steveperry1,@balleduquebec Tabarnak je viens d'aller voir l'annonce Christ de mauvaise journer pour avoir des yeux!,,arn9xVX,0,C
emperatorx,When you are that fat it's better that you lose a lot of weight from diets before you start to exercise since you would be causing stress on your knee caps and heart muscles when you try to exercise as a fat lump of shit,,arn9xVX,0,C
